Team;Elo;Date
Fiorentina;1631,631592;2021-10-19
Venezia;1495,730225;2021-10-19
Milan;1810,085327;2021-10-20
Juventus;1842,023682;2021-10-20
Internazionale;1872,834839;2021-10-20
Atalanta;1821,272461;2021-10-20
Napoli;1821,956299;2021-10-20
Roma;1747,856934;2021-10-20
Lazio;1722,370728;2021-10-20
Sassuolo;1669,231812;2021-10-20
Fiorentina;1629,721558;2021-10-20
Hellas Verona;1582,297363;2021-10-20
Udinese;1586,309692;2021-10-20
Torino;1584,739624;2021-10-20
Sampdoria;1621,831055;2021-10-20
Bologna;1604,523804;2021-10-20
Cagliari;1562,832275;2021-10-20
Empoli;1541,046509;2021-10-20
Genoa;1580,792603;2021-10-20
Spezia;1520,449707;2021-10-20
Venezia;1493,820313;2021-10-20
Salernitana;1460,040527;2021-10-20
Milan;1810,377319;2021-10-21
Juventus;1847,540405;2021-10-21
Internazionale;1873,126953;2021-10-21
Atalanta;1817,184448;2021-10-21
Napoli;1822,248413;2021-10-21
Roma;1748,149048;2021-10-21
Lazio;1722,66272;2021-10-21
Sassuolo;1669,523804;2021-10-21
Fiorentina;1630,01355;2021-10-21
Hellas Verona;1582,589355;2021-10-21
Udinese;1586,601685;2021-10-21
Torino;1585,031616;2021-10-21
Sampdoria;1622,123169;2021-10-21
Bologna;1604,815796;2021-10-21
Cagliari;1563,124268;2021-10-21
Empoli;1541,338501;2021-10-21
Genoa;1581,084717;2021-10-21
Spezia;1520,741821;2021-10-21
Venezia;1494,112305;2021-10-21
Salernitana;1460,33252;2021-10-21
Milan;1801,313721;2021-10-22
Juventus;1838,476685;2021-10-22
Internazionale;1864,063232;2021-10-22
Atalanta;1808,120728;2021-10-22
Napoli;1815,307983;2021-10-22
Roma;1714,223877;2021-10-22
Lazio;1709,902466;2021-10-22
Sassuolo;1660,460205;2021-10-22
Fiorentina;1620,949951;2021-10-22
Hellas Verona;1573,525757;2021-10-22
Udinese;1577,538086;2021-10-22
Torino;1575,967896;2021-10-22
Sampdoria;1613,059448;2021-10-22
Bologna;1595,752197;2021-10-22
Cagliari;1554,060669;2021-10-22
Empoli;1532,274902;2021-10-22
Genoa;1572,020996;2021-10-22
Spezia;1511,678101;2021-10-22
Venezia;1485,048584;2021-10-22
Salernitana;1451,268799;2021-10-22
Juventus;1838,476685;2021-10-23
Sassuolo;1660,460205;2021-10-23
Fiorentina;1620,949951;2021-10-23
Torino;1582,732544;2021-10-23
Sampdoria;1617,530762;2021-10-23
