Matchweek,Match_Date,Home_Team,Away_Team,Win,log_ratio_Value,Cup_Home,Cup_Away,Winvalue,Home_Performance,Away_Performance,Home_Diff_Goals,Away_Diff_Goals,Aprob_TMValue_Costant,Dprob_TMValue_Costant,Hprob_TMValue_Costant,TMValue_Costant_pred,ln_TM_Home,ln_TM_Away,log_ratio_ln_TM
18,2021-12-19,Fiorentina,Sassuolo,D,0.12252749139674611,1,0,1,2.0,-1.0,9,2,0.45103025470150276,0.3129726308453858,0.2359971144531114,A,182605555.55555555,135777777.7777778,0.2963088300319439
18,2021-12-19,Milan,Napoli,A,-0.08076782306456984,0,0,0,1.0,-1.0,17,21,0.45750959096522936,0.3111731857051816,0.23131722332958904,A,224200000.0,215457777.77777776,0.03977354707567106
18,2021-12-19,Torino,Hellas Verona,H,0.5681728123724621,1,1,2,-1.0,-1.5,4,3,0.19757471687447162,0.29486060512075285,0.5075646780047756,H,84766666.66666667,62115555.55555555,0.31090593415049195
18,2021-12-18,Atalanta,Roma,A,-0.027903958249173487,0,0,0,2.0,0.5,17,7,0.40984245129021774,0.32252044643603656,0.26763710227374576,A,204122222.2222222,222351111.1111111,-0.08553877109220004
18,2021-12-18,Bologna,Juventus,A,-1.3782056938433904,0,0,0,-1.0,1.5,-5,6,0.6117206535272296,0.24954135715992265,0.13873798931284775,A,90016666.66666667,250466666.66666666,-1.0233310061009684
19,2021-12-22,Roma,Sampdoria,D,1.3301746423171603,0,0,1,1.5,-1.5,10,-8,0.14124993622115442,0.2519965328563494,0.6067535309224962,H,206000000.0,32122222.22222222,1.8583280971035
19,2021-12-22,Sassuolo,Bologna,A,0.36483768504489045,0,0,0,-1.5,-2.0,2,-7,0.24413601077973493,0.3158548431376741,0.440009146082591,H,141984444.44444445,78533333.33333333,0.5921943423254351
19,2021-12-21,Genoa,Atalanta,D,-1.2559266937811986,0,0,1,-2.0,1.0,-18,14,0.5423414280191451,0.2812734456866499,0.176385126294205,A,27028888.888888888,191355555.55555555,-1.9572269920717744
19,2021-12-22,Empoli,Milan,A,-1.6841725440189401,0,0,0,0.0,0.0,-2,16,0.8138796522211319,0.1312671569619307,0.0548531908169374,A,62716666.666666664,281755555.5555556,-1.5024126423862918
19,2021-12-22,Venezia,Lazio,A,-1.113529505048233,0,0,0,-2.0,0.0,-14,3,0.5561971649204998,0.27540197943914646,0.16840085564035379,A,38274444.44444444,159174444.44444445,-1.4252183090813555
19,2021-12-22,Hellas Verona,Fiorentina,D,-0.6903112743925842,0,0,1,-2.0,1.5,2,9,0.3303444479099941,0.329955980324708,0.3396995717652978,H,68088888.8888889,176916666.66666666,-0.9548647708250935
19,2021-12-22,Internazionale,Torino,H,0.9852317415210369,0,0,2,2.0,0.0,33,5,0.1691650913548133,0.2759827850400375,0.5548521236051492,H,333333333.3333333,81194444.44444445,1.4122961636588913
19,2021-12-21,Juventus,Cagliari,H,1.4756196612399175,0,0,2,2.0,-2.0,8,-21,0.1476032716825196,0.25797791276430504,0.5944188155531753,H,234033333.33333334,58405555.55555556,1.388052540669473
19,2021-12-22,Napoli,Spezia,A,1.9777449406025405,0,0,0,0.0,-2.0,22,-21,0.05156766194258575,0.12487244678527198,0.8235598912721422,H,219077777.7777778,35304444.44444445,1.8254179554803447
20,2022-01-06,Spezia,Hellas Verona,A,-0.509653508535813,0,0,0,-1.0,-2.0,-20,2,0.5392407679482168,0.2825529185219037,0.17820631352987948,A,36253333.333333336,62450000.0,-0.5438349054754263
20,2022-01-06,Milan,Roma,H,0.17766034114457624,0,0,2,1.0,1.0,18,10,0.2677560199561892,0.3225482434836348,0.40969573656017594,H,199366666.66666666,231766666.6666667,-0.15058544305446098
20,2022-01-06,Lazio,Empoli,D,1.1276328174088697,0,0,1,1.0,-1.0,5,-4,0.14426596346884707,0.2548763316432032,0.6008577048879498,H,203133333.3333333,45827777.777777776,1.4889721689129776
20,2022-01-06,Sampdoria,Cagliari,A,-0.22604350501399958,0,0,0,-2.0,-2.0,-8,-23,0.3857360173390645,0.3264427450634825,0.28782123759745304,A,42646666.666666664,69344444.44444445,-0.4861369192498962
20,2022-01-06,Sassuolo,Genoa,D,0.6419511671686289,0,0,1,-2.0,-2.0,-1,-18,0.16497278035069554,0.2727466236237812,0.5622805960255233,H,103116666.66666667,35814444.44444445,1.057509745175028
20,2022-01-06,Juventus,Napoli,D,0.11306035972761057,0,0,1,2.0,-1.0,10,21,0.45415511573287437,0.31211432493929747,0.23373055932782816,A,301877777.7777778,194966666.66666666,0.43719362233196324
21,2022-01-09,Roma,Juventus,A,-0.3714885239367567,0,0,0,0.0,1.5,8,10,0.34480160992059083,0.3298482844983105,0.32535010558109867,A,208233333.33333334,262250000.0,-0.230639001444992
21,2022-01-09,Genoa,Spezia,A,0.4354861243630222,0,0,0,-2.0,-2.0,-18,-21,0.20642441109550635,0.2997368770881399,0.49383871181635375,H,32227777.777777776,34168888.88888889,-0.058486803869854324
21,2022-01-09,Hellas Verona,Salernitana,A,0.7372713402449438,0,0,0,-1.0,-2.0,3,-31,0.18183460251944333,0.2850374713069467,0.53312792617361,H,58111111.11111111,10262222.222222222,1.7338874795786283
21,2022-01-09,Internazionale,Lazio,H,0.7226206715014118,0,0,2,2.0,0.5,34,5,0.20350569758068873,0.29817802724748066,0.49831627517183064,H,386550000.0,180100000.0,0.7637489735845733
21,2022-01-10,Torino,Fiorentina,H,-0.12213846202012216,0,0,2,-1.0,1.0,4,9,0.2504823281093456,0.31789147421927805,0.4316261976713764,H,85986111.11111112,173161111.1111111,-0.7000366547230994
21,2022-01-09,Napoli,Sampdoria,H,1.5886028065263065,0,0,2,-1.5,-2.0,21,-9,0.05949446460141167,0.1400293215848619,0.8004762138137264,H,155891111.1111111,33542222.222222224,1.5363527477516874
21,2022-01-11,Cagliari,Bologna,H,-0.09741396739652716,0,0,2,-1.0,-1.0,-22,-4,0.3457858141322931,0.32981896048495957,0.3243952253827473,A,70283333.33333333,73511111.1111111,-0.04490187484880295
21,2022-01-09,Empoli,Sassuolo,A,-0.8646327180126205,0,0,0,-1.5,-2.0,-4,-1,0.6243054656254791,0.24320504036369472,0.13248949401082621,A,53833333.333333336,112266666.66666667,-0.7349841397054604
