Date;Home_Team;Away_Team;Home_Goals;Away_Goals;Win_Home_Bet;Draw_Bet;Win_Away_Bet
17/12/21;Lazio;Genoa;3;1;1.53;4.33;6
17/12/21;Salernitana;Internazionale;0;5;15;8;1.16
18/12/21;Atalanta;Roma;1;4;1.7;4.33;4.33
18/12/21;Cagliari;Udinese;0;4;3;3.25;2.4
18/12/21;Bologna;Juventus;0;2;4.1;3.7;1.83
19/12/21;Sampdoria;Venezia;1;1;1.8;3.8;4.33
19/12/21;Fiorentina;Sassuolo;2;2;1.85;3.8;3.9
19/12/21;Torino;Hellas Verona;1;0;2.2;3.4;3.3
19/12/21;Spezia;Empoli;1;1;2.62;3.75;2.45
19/12/21;Milan;Napoli;0;1;2.25;3.5;3.1
21/12/21;Juventus;Cagliari;2;0;1.18;6.5;17
21/12/21;Genoa;Atalanta;0;0;7.5;5.25;1.36
22/12/21;Empoli;Milan;2;4;4.5;3.9;1.75
22/12/21;Venezia;Lazio;1;3;4.2;3.6;1.85
22/12/21;Internazionale;Torino;1;0;1.3;5.5;10
22/12/21;Sassuolo;Bologna;0;3;2;3.6;3.6
22/12/21;Hellas Verona;Fiorentina;1;1;2.9;3.5;2.37
22/12/21;Roma;Sampdoria;1;1;1.55;4.33;5.5
22/12/21;Napoli;Spezia;0;1;1.22;6.5;12
06/01/22;Sampdoria;Cagliari;1;2;1.85;3.75;4
06/01/22;Lazio;Empoli;3;3;1.6;4.4;5
06/01/22;Spezia;Hellas Verona;1;2;3.5;3.5;2.05
06/01/22;Milan;Roma;3;1;1.9;3.7;3.8
06/01/22;Juventus;Napoli;1;1;1.9;3.6;4
06/01/22;Sassuolo;Genoa;1;1;1.57;4.33;5.25
09/01/22;Empoli;Sassuolo;1;5;2.5;3.8;2.55
09/01/22;Genoa;Spezia;0;1;2.1;3.3;3.6
09/01/22;Roma;Juventus;3;4;3.3;3.5;2.15
09/01/22;Venezia;Milan;0;3;6;4;1.57
09/01/22;Napoli;Sampdoria;1;0;1.4;5;7.5
09/01/22;Udinese;Atalanta;2;6;4.74;3.71;1.73
09/01/22;Internazionale;Lazio;2;1;1.4;5;7
09/01/22;Hellas Verona;Salernitana;1;2;1.36;5;8
10/01/22;Torino;Fiorentina;4;0;2.95;3.28;2.43
11/01/22;Cagliari;Bologna;2;1;2.75;3.3;2.55
15/01/22;Salernitana;Lazio;0;3;7;4.5;1.45
15/01/22;Juventus;Udinese;2;0;1.4;4.75;7.5
15/01/22;Sampdoria;Torino;1;2;3;3.2;2.45
16/01/22;Venezia;Empoli;1;1;2.62;3.5;2.55
16/01/22;Roma;Cagliari;1;0;1.36;5;8.5
16/01/22;Atalanta;Internazionale;0;0;2.87;3.75;2.3
16/01/22;Sassuolo;Hellas Verona;2;4;2.2;3.5;3.2
17/01/22;Fiorentina;Genoa;6;0;1.45;4.2;7.5
17/01/22;Milan;Spezia;1;2;1.33;5;9.5
17/01/22;Bologna;Napoli;0;2;4;3.4;1.95
21/01/22;Hellas Verona;Bologna;2;1;1.95;3.6;3.8
22/01/22;Genoa;Udinese;0;0;3.5;3.3;2.15
22/01/22;Lazio;Atalanta;0;0;3.2;3.5;2.2
22/01/22;Internazionale;Venezia;2;1;1.1;9.5;21
23/01/22;Empoli;Roma;2;4;4;4.2;1.8
23/01/22;Torino;Sassuolo;1;1;2.1;3.6;3.3
23/01/22;Milan;Juventus;0;0;2.62;3.3;2.7
23/01/22;Napoli;Salernitana;4;1;1.14;8;17
23/01/22;Cagliari;Fiorentina;1;1;5.25;4.1;1.61
23/01/22;Spezia;Sampdoria;1;0;2.7;3.3;2.62
05/02/22;Roma;Genoa;0;0;1.36;5.5;7.5
05/02/22;Fiorentina;Lazio;0;3;2.37;3.5;2.9
05/02/22;Internazionale;Milan;1;2;1.8;3.75;4.5
06/02/22;Sampdoria;Sassuolo;4;0;2.8;3.8;2.3
06/02/22;Juventus;Hellas Verona;2;0;1.53;4.33;6
06/02/22;Bologna;Empoli;0;0;2;3.6;3.6
06/02/22;Atalanta;Cagliari;1;2;1.25;6.5;11
06/02/22;Venezia;Napoli;0;2;7.5;4.75;1.4
06/02/22;Udinese;Torino;2;0;3.1;3.3;2.37
07/02/22;Salernitana;Spezia;2;2;2.87;3.4;2.5
12/02/22;Napoli;Internazionale;1;1;2.75;3.4;2.55
12/02/22;Lazio;Bologna;3;0;1.7;4;4.75
12/02/22;Torino;Venezia;1;2;1.54;3.98;6.48
13/02/22;Milan;Sampdoria;1;0;1.4;4.75;7.5
13/02/22;Atalanta;Juventus;1;1;2.8;3.5;2.37
13/02/22;Empoli;Cagliari;1;1;1.95;3.8;3.6
13/02/22;Sassuolo;Roma;2;2;3.4;3.9;2
13/02/22;Hellas Verona;Udinese;4;0;1.83;3.6;4.2
13/02/22;Genoa;Salernitana;1;1;1.83;3.75;4.33
14/02/22;Spezia;Fiorentina;1;2;3.75;3.6;1.95
18/02/22;Juventus;Torino;1;1;1.57;3.75;6.5
19/02/22;Roma;Hellas Verona;2;2;1.95;3.75;3.6
19/02/22;Salernitana;Milan;2;2;9;5;1.36
19/02/22;Sampdoria;Empoli;2;0;2.2;3.4;3.2
20/02/22;Venezia;Genoa;1;1;2.5;3.2;2.9
20/02/22;Udinese;Lazio;1;1;2.9;3.3;2.45
20/02/22;Internazionale;Sassuolo;0;2;1.28;6;9
20/02/22;Fiorentina;Atalanta;1;0;2.6;3.3;2.7
21/02/22;Bologna;Spezia;2;1;1.8;3.8;4.33
21/02/22;Cagliari;Napoli;1;1;6.5;4.33;1.5
25/02/22;Genoa;Internazionale;0;0;9;5.25;1.33
25/02/22;Milan;Udinese;1;1;1.48;4.20;7.05
26/02/22;Empoli;Juventus;2;3;5;4;1.65
26/02/22;Sassuolo;Fiorentina;2;1;2.7;3.6;2.45
26/02/22;Salernitana;Bologna;1;1;3.5;3.4;2.15
27/02/22;Lazio;Napoli;1;2;2.75;3.4;2.5
27/02/22;Spezia;Roma;0;1;4.5;3.6;1.8
27/02/22;Hellas Verona;Venezia;3;1;1.53;4;6
27/02/22;Torino;Cagliari;1;2;1.65;3.8;5.5
28/02/22;Atalanta;Sampdoria;4;0;1.44;5;6.5
04/03/22;Internazionale;Salernitana;5;0;1.14;7.5;19
05/03/22;Roma;Atalanta;1;0;2.55;3.4;2.7
05/03/22;Udinese;Sampdoria;2;1;1.9;3.4;4.33
05/03/22;Cagliari;Lazio;0;3;3.6;3.2;2.1
06/03/22;Genoa;Empoli;0;0;2.5;3.2;2.87
06/03/22;Bologna;Torino;0;0;2.8;3.2;2.5
06/03/22;Napoli;Milan;0;1;2.05;3.3;3.6
06/03/22;Fiorentina;Hellas Verona;1;1;1.95;3.5;3.6
06/03/22;Juventus;Spezia;1;0;1.22;6.25;13
06/03/22;Venezia;Sassuolo;1;4;3.25;3.4;2.2
